ID de canal,URL del canal,Títol del canal
UC-4myvsPx91baXD_-MwDlZQ,http://www.youtube.com/channel/UC-4myvsPx91baXD_-MwDlZQ,Club Billar Barcelona
UC-YPd10q3SECGxyDpmvug-g,http://www.youtube.com/channel/UC-YPd10q3SECGxyDpmvug-g,C.D. BILLAR MIJAS
UC-ogEKulWYrriumdLZx3xfw,http://www.youtube.com/channel/UC-ogEKulWYrriumdLZx3xfw,El flaco billarista
UC0IWnK4Ee7sNYaszXJFncbg,http://www.youtube.com/channel/UC0IWnK4Ee7sNYaszXJFncbg,Billar 2 Molins
UC0fpij86fq4N6dyfpHINerQ,http://www.youtube.com/channel/UC0fpij86fq4N6dyfpHINerQ,Granollers Billar 2
UC0r2lfS79nh3gE60UGrd6RQ,http://www.youtube.com/channel/UC0r2lfS79nh3gE60UGrd6RQ,TresBandas_2024
UC1DBNANfxHKPq6iGQvdVxwg,http://www.youtube.com/channel/UC1DBNANfxHKPq6iGQvdVxwg,Billar Sueca
UC1mxCTn5h77UcRTwFyNm_JQ,http://www.youtube.com/channel/UC1mxCTn5h77UcRTwFyNm_JQ,Solo Series
UC33EaGjvEA92-jcWpL06_XQ,http://www.youtube.com/channel/UC33EaGjvEA92-jcWpL06_XQ,BILLAR 1 LLEIDA
UC3Kuhq2oXjeQzCQZUAki1SQ,http://www.youtube.com/channel/UC3Kuhq2oXjeQzCQZUAki1SQ,Billiards Club House
UC3UaoySxRFDKQPVjOiCTGpg,http://www.youtube.com/channel/UC3UaoySxRFDKQPVjOiCTGpg,Banyoles Billar 3
UC3ZKv9wAXeCFWNfWmCfRPRw,http://www.youtube.com/channel/UC3ZKv9wAXeCFWNfWmCfRPRw,Barcelona Billar 4
UC3tyu8bb-Sy41gJil-PEdeg,http://www.youtube.com/channel/UC3tyu8bb-Sy41gJil-PEdeg,Hermanos Torres
UC45pdJsAb7blCXB6KLsH_eA,http://www.youtube.com/channel/UC45pdJsAb7blCXB6KLsH_eA,cbsantfeliu2
UC4G8_6vqJp4lwd7pfCwa0aw,http://www.youtube.com/channel/UC4G8_6vqJp4lwd7pfCwa0aw,Coral Colon Billar 2
UC4QKXDKnDqnQ31_YG5yvdDg,http://www.youtube.com/channel/UC4QKXDKnDqnQ31_YG5yvdDg,Club Billar Sant Adrià - BILLAR 4
UC4c8wkmiQyBnzqSJUlZaNOw,http://www.youtube.com/channel/UC4c8wkmiQyBnzqSJUlZaNOw,3 cushion billiards
UC4dwMUmaD1I9d7PDeZw48gw,http://www.youtube.com/channel/UC4dwMUmaD1I9d7PDeZw48gw,Club Billar Valencia
UC4ht5J0lUzGmSbjLacEIXkA,http://www.youtube.com/channel/UC4ht5J0lUzGmSbjLacEIXkA,Comer La Vanguardia
UC4n_ME6BVRofHr4fVoBTdNg,http://www.youtube.com/channel/UC4n_ME6BVRofHr4fVoBTdNg,BilliardsTV
UC5EMAWwvg_1gsVrqEWlpixw,http://www.youtube.com/channel/UC5EMAWwvg_1gsVrqEWlpixw,CLUB BILLAR SANTS - BILLAR 3
UC5UXUsdRQgliY_3CoKzO6Dg,http://www.youtube.com/channel/UC5UXUsdRQgliY_3CoKzO6Dg,에스에이 스포츠
UC5Y3XT1-QJteLAtwazUe1BQ,http://www.youtube.com/channel/UC5Y3XT1-QJteLAtwazUe1BQ,Club Billar 2000 Cerdanyola - Billar 2
UC6QmdmVb4T8rKj-SS1Lq3Yw,http://www.youtube.com/channel/UC6QmdmVb4T8rKj-SS1Lq3Yw,뽐주TV
